nom,description,logo,Date dernier financement,Série,LinkedIn,Type d'organisme,SIREN,Activité principale,market,valeur_entreprise,mots_cles_def,Effectif_def,site_web_def,adresse_def,date_creation_def,Nom,Prenom,Poste,Montant_def
humanitics.ai,"An AI-powered application that assists store managers in optimizing performance directly from the sales floor. It identifies missed opportunities and offers clear guidance on how to leverage them. The application provides a consolidated performance overview to all retail stakeholders in real-time on their mobile devices. Our AI algorithms identify and prompt store staff with specific actions to boost their performance. The implementation process is quick and straightforward, producing measurable results within weeks. Renowned clients such as Lacoste and Chantelle have experienced a sales uplift of 3% to 5% following our recommendations. With Humanitics, store staff and managers are empowered to transform data into effective actions effortlessly, without needing advanced analytical skills., Helping retailers increase sales through more effective actions each day in each store","https://storage.googleapis.com/dealroom-images-production/42/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yOC80NTY4YzBjZTAzZjgxOWZiODE5MGQxYTQzZDU0ZWFkMQ==.png, https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/2b0f9320-1a52-4aa9-b975-21d578ec148e1",,,,,Non disponible,,B2B,,"artificial intelligence, luxury, fashion & cosmetics, retailtech, ai, performanceoptimization, realtimeanalytics, retail & e-commerce, saas, subscription, marketing",20 à 49 salariés,https://www.humanitics.ai/,"LEVALLOIS-PERRET, Levallois-Perret, France",,,,,182000.0
huntease,A B2B sales-engagement platform dedicated to delivering a seamless cold-calling experience and boosting sales productivity and performance as a result,https://storage.googleapis.com/dealroom-images-production/9b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMi9iMTdiMzFjNjhhYmI3ZGU4ZjE4ZWE4NjU4MzUwMjQ1ZA==.png,,,,,Non disponible,,B2B,,"commission, crm & sales, marketing, saas",1 ou 2 salariés,,"Paris, France",2019-01-01,,,,
huntx pharma,Game-changer therapies for incurable axonal transport defects,https://storage.googleapis.com/dealroom-images-production/f5/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wOC8zYTQxYzFiOTZhMGE3YTI4Mjc5MWU0MDFkZDllODU0MA==.png,,,,,Non disponible,,B2B,€7—10m,"commission, health, manufacturing, pharmaceutical",3 à 5 salariés,,"Grenoble, France",2022-01-01,,,,1700000.0
hupso,Upgrading essential professions through professional training,https://storage.googleapis.com/dealroom-images-production/61/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yMi83MGI5M2E4MzRlYmZmMjYzYmY2OTVmZjJhN2Y1NTViNw==.png,,,,,Non disponible,,,€28—42m,"advertising, jobs recruitment",50 à 99 salariés,,"Saint-Cloud, France",2018-01-01,,,,7000000.0
hushh.ai,"We are a user data api (visa for data) business that Builds products and solutions helping our users organize, manage and extract meaningful value from their own data, including ai monetization options to turn their data into a financial asset. Our motto is 'Your Data, Your Business', and we prioritize ownership, observability, and control of your data and its privacy. With hushh, you can monetize your data while prioritizing your privacy preferences if you choose to, allowing your trusted brands to serve you via the best virtual and human assistants. Our mission is to help make “your” data “your” business. We do this by helping you extract meaningful insights & solutions from your most valuable personal data that helps you and your family understand the power that lies within your personal data once you start collecting, organizing and managing it as a personal asset on your own devices. hushh your data away into your secure private on-device cloud and let it work for you quietly",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/4df14dff-efab-4205-9bfd-065ff767c21e1,,,,,Non disponible,,,,"dataprivacy, aimonetization, dataownership, apitechnology, artificial intelligence, data management & crm",,https://hush1one.com/,KIRKLAND,,,,,
hussar academy,"First open innovation ecosystem for students and companies, Hussar Academy accompanies you to create and launch tomorrow's innovations",https://storage.googleapis.com/dealroom-images-production/eb/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMi8zYzY5MGQxYTI2MTM4MDZhYmJjZDMwYmU4NzVlNTMzMA==.png,,,,,Non disponible,,,,marketing,3 à 5 salariés,,"Douarnenez, France",2020-01-01,,,,
hybrigenics services,Protein Interaction Service and Tools- Hybrigenics Services,https://storage.googleapis.com/dealroom-images-production/9b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xMS81OTc5ZmQyMzFkNDViNTNiZmFlY2EzMGRkZjcxMGVlZA==.png,,,,,Non disponible,,B2B,,"deep tech, health, manufacturing",20 à 49 salariés,,"Évry-Courcouronnes, France",2009-01-01,,,,
hydroclimate,Young inovative company in hydroclimatology labeled GreenTechInnovation. Their mission is to solve water and climate change issues,https://storage.googleapis.com/dealroom-images-production/da/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMi85NDNkMTZmYmY3MGRmZThiMTc2YmEwNmQ5OTkxYjU2MA==.png,,,,,Non disponible,,B2B,,"commission, deep tech, energy, energy efficiency, water",3 à 5 salariés,,"Aubagne, France",2019-01-01,,,,
hydrogen refueling solutions,Specialized in the mass production of turnkey hydrogen refueling stations,https://storage.googleapis.com/dealroom-images-production/a7/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC8zNTA4MmM2YWIxNWVkMTZmMTVhZGFiY2ExOTliMTc4OQ==.png,,,,,Non disponible,,B2B,€73m,"clean energy, energy, energy providers, energy storage, manufacturing, selling own inventory, transportation",50 à 99 salariés,,"Champ-sur-Drac, France",2004-01-01,,,,
hygiesys,"HygieSys is the innovative solution for hygiene and waste management in healthcare establishments and businesses requiring optimal hygiene. Our cutting-edge application offers real-time monitoring, optimal planning of cleaning tasks, and sorting waste in compliance with regulations With intuitive and user-friendly interfaces, our platform adapts to any establishment organization and easily manages the sending of reports, statistics and stain history. AI strengthens HygieSys' strengths in data assessment for prevention and optimal planning. Join us to create healthier, more sustainable environments for all.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/dfb5701d-6248-40de-bb4c-2d6665ff18d541,,,,,Non disponible,,,,"artificial intelligence, healthcare & wellness, hygiène, gestiondéchets, ia, santé, growth & investment",,https://hygiesys.com/,RAFRAF,,,,,
hylae campus,Specialist in professional training in environmental issues,https://storage.googleapis.com/dealroom-images-production/a0/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMi8xNjcxNzNkYTZkYjcwMjA2YzQ5NThjNTkwZDY3ZjQzOA==.png,,,,,Non disponible,,B2B,,"commission, education, saas",3 à 5 salariés,,"Paris, France",2022-01-01,,,,
hyléria,"HYLÉRIA offers organic facial skincare products made with active ingredients from local, sustainable agriculture. Our mission is to preserve rare know-hows by working with artisans of the French Living Heritage to produce our refillable jars. Our products are unique and produced in limited editions.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/98f24410-cd79-4952-a5c2-f268cdba07621,,,,,Non disponible,,,,"cosmétiques bio artisanat durabilité, retail & e-commerce, luxury, fashion & cosmetics, healthcare & wellness",,https://hyleriaparis.com/,CHARTRES,,,,,
hylē care,,https://storage.googleapis.com/dealroom-images-production/e7/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMi81YTE4ODI1Mzk2MzI1YTExNTUxYWE4NGQ4YzA4N2FkZQ==.png,,,,,Non disponible,,,,,3 à 5 salariés,,"Niort, France",2022-01-01,,,,
hypeed,Fashion by real people! Send us your photos and we'll feature you in our online fashion magazine!,https://storage.googleapis.com/dealroom-images-production/a9/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC83NTRiOTZmMGIzZmYzOWQ1Zjg5NWY0NDExNDg0MzUxNQ==.png,,,,,Non disponible,,B2C,,"advertising, dating",3 à 5 salariés,,"Argueil, France",,,,,
hyperion seven,,https://storage.googleapis.com/dealroom-images-production/3c/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMi84NDFlZmQ2NWQ5MDNmNTA4ZDkyODk2NjIzOGMxYjBkZA==.png,,,,,Non disponible,,,,"deep tech, manufacturing",3 à 5 salariés,,France,2019-01-01,,,,
hyperline,A highly versatile billing platform,https://storage.googleapis.com/dealroom-images-production/69/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xNi8zYjRmYzhjMWI3Yzg3ZjEyMTVmNWI2YzgyNzgxMTE0MQ==.png,,,,,Non disponible,,B2B,€36—55m,"financial management solutions, fintech, saas, subscription",20 à 49 salariés,,"Paris, France",2022-01-01,,,,13100000.0
"hypershell co., ltd.","Hypershell started in 2018 when the core members discovered extraordinary possibilities in simulation research on the interaction of exoskeletons and human bodies. Hypershell is committed to continuously promoting human progress. Since its establishment in 2021, Hypershell has been innovating technologies and products in the field of exoskeletons to reshape people's lifestyles and enable technology to empower life.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/5021d029-aa2b-48a6-afaf-27eae7eb975c1,,,,,Non disponible,,,,"exoskeletons, innovation, humanenhancement, wearabletech, artificial intelligence, mobility & smart city, robotics",,https://www.hypershell.cc/,SHANGHAI,,,,,
hypios crowdinnovation,Open Innovation Platform powered by AI,https://storage.googleapis.com/dealroom-images-production/82/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNC80MDFlNjUzODBjOTNhM2I5ODhlNTBlZjNiOGUyMzAxOA==.png,,,,,Non disponible,,B2B,,"artificial intelligence, deep tech, machine learning, transportation",3 à 5 salariés,,"Paris, France",,,,,336000.0
hypocaps,,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/77562c7e-e42e-46f6-a2f2-42ad433170fa1,,,,,Non disponible,,,,"healthcare & wellness, diversity & inclusion",,https://www.linkedin.com/company/hypocaps/,BOUCAU,,,,,
hyprspace,French innovative company willing to provide cheaper ways to put microsatellites into orbit,https://storage.googleapis.com/dealroom-images-production/f5/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS9hYjRiNGRhZDI0ZTcyMDcyYTI4MWRiNGVmMDk5ODU1Mg==.png,,,,,Non disponible,,B2B,€4—7m,"commission, deep tech, hardware, manufacturing, space, transportation",50 à 99 salariés,,"Le Haillan, France",,,,,3300000.0
hysper tech,"Hysper Tech is a start-up company that is venturing into Household Renewable Energy and Bio-fertilizers supply chains through Nature Resources Management (Organic Matter, Animal Manure, and Agriculture Waste) with focuses on innovative and new sources of energy technologies, to scale-up generation, production, packaging and distribution of the biogas and organic fertilizer. Since 2020, Hysper has increased the availability of and access to affordable, reliable, and sustainable renewable energy by connecting over 500 households, 1 school, and 2 health centers off-grid users, and over 3000 Compressed Biogas users beyond the grid. Hysper supports cleaner electricity generation from the Biogas Plant and delivered by the grid. The startup company accelerates the distribution of renewable energy through the manufacturing of Biogas Stoves and Compressor Packaging Bags; and work with lower-income communities to improve the enabling environment for household energy sector investment.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6a4b0c47-cffd-4e13-b916-3a0adbe4cab21,,,,,Non disponible,,,,"climate tech, growth & investment, energy, renewableenergy, biogas, sustainability, organicfertilizer",,https://hyspertech.org/,LUSAKA,,,,,
hyundai motor and kia (zer01ne),"ZER01NE is a creative talent platform operated by Hyundai Motor and Kia. ZER01NE is creating an ecosystem for creative talents such as artists, architects, designers, and entrepreneurs, forming a place of collaboration with start-ups, and developing a ground of an active participation for companies.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/4dd31cb6-828e-4d72-89af-04ba6453be351,,,,,Non disponible,,,,"artificial intelligence, climate tech, innovation, collaboration, creativity, ecosystem, energy",,https://zer01nezone.kinsta.cloud/en/main/,,,,,,
hello tomorrow,We are a non-profit initiative on a mission to unlock the power of deep technologies to help solve some of our toughest world challenges,https://storage.googleapis.com/dealroom-images-production/88/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC85MTJkMzg3N2Y0ZjkxYjI2N2ZjMDJhMTFiOGFkMzlmYQ==.png,,,,,Non disponible,,,,"deeptech, innovation, nonprofit, sustainability",,,,,,,,
hâpii,"Hâpii est une startup dédiée aux enjeux commerciaux des entreprises du BTP. Notre vision: Aider à vendre plus, mieux et plus vite. Nous proposons un produit ->le premier CRM intelligent dédié au BTP, et deux services ->agence de marketing et formation.",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-hapii.png,,,,,Non disponible,,,,btob,,https://hapii.net/?utm_source=LesPepitesTech.com,"17 rue de la Vanne, 92120 Montrouge",,,,,
hâpy,L'outil web le plus complet pour les hôtels et restaurants,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_final_6.png,,,,,Non disponible,,,,abonnements,,http://dear-hapy.com/?utm_source=LesPepitesTech.com,"60 Rue François 1er, Paris",,,,,
hôtes,Un seul mot d'ordre: Voyagez plus. Payez juste.,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_instagram.png,,,,,Non disponible,,,,marketplace,,http://www.hote-s.com/?utm_source=LesPepitesTech.com,60 Rue François 1er,,,,,
i am elsy,"Elsy - billes chocolatées en version healthy, chocolat noir, chocolat au lait",https://storage.googleapis.com/dealroom-images-production/a6/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMS83YTZhMTlkZTYzZGUyZjc2M2U2OTFlM2U2MTQ2OGQ4OA==.png,,,,,Non disponible,,,,food,3 à 5 salariés,,"Paris, France",2019-01-01,,,,
i make,A marketplace for doing everything yourself,https://storage.googleapis.com/dealroom-images-production/b2/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yOC8xNGZmOWRjOGU0ODI2NzFiZmEwZWNiOGM0OTQ3M2MyNQ==.png,,,,,Non disponible,,B2C,€6—9m,"fashion, home living, marketplace & ecommerce",3 à 5 salariés,,"Paris, France",,,,,1500000.0
i want to exhibit at vivatech,"VivaTech accelerates innovation by connecting startups, tech leaders, major companies and investors responding to our world’s biggest challenges. Each year, over four exciting days in Paris, VivaTech creates Europe’s biggest technology and startup event, exploring the most disruptive topics in tech with world-premiere demos, launches and conferences in a collaborative ecosystem. This is where business meets innovation.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/c248338e-8c53-4754-a1d3-37a733742c111,,,,,Non disponible,,,,"b2b services, innovation, startups, tech, ecosystem",,https://vivatechnology.com/,,,,,,
i'mtech,"I'MTech is the science and technology media platform of Institut Mines-Télécom, the number-one groupe of engineering and management graduate schools in France. It focuses on cutting-edge topics such as digital technology, health, energy, environment, circular economy, and industry. Through its website, I'MTech provides insights, news, and research updates on these subjects, showcasing the innovative work of the IMT's researchers and start-ups.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/a565570b-850c-40de-9904-c17717bb4c071,,,,,Non disponible,,,,"technologie, environnement, santé, innovation, artificial intelligence, healthcare & wellness, energy",,https://imtech.imt.fr/,PALAISEAU,,,,,
i2cool,"i2Cool is a technology company incubated by the HK Tech 300 program at City University. The core R&D team comprised of professors, doctors and young scientists from the School of Energy and Environment at City University of Hong Kong. With over 7 years of dedication in electricity-free cooling technology, the team has successfully developed the world's leading passive radiative cooling materials (PRC), achieving cooling effects below ambient temperature through efficient solar reflection and mid-infrared emission. This patented cooling technology, ideal for building and construction, outdoor facilities and storage systems, has expanded its reach to Southeast Asia, the Middle East, Europe, and the US, speeding up the adoption of energy-saving solutions globally. Spanning over 100 projects worldwide, it covers 53,575 square meters, saving more than 1 million kWh. i2Cool's PRC materials not only improve indoor conditions but also reduce urban heat islands and contribute to global warmin",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/370d6f3b-e519-4c29-a06d-920079bab6e41,,,,,Non disponible,,,,"b2b services, industry, logistics & supply chain, cooling, energyefficiency, sustainability, construction, energy",,https://vivatechnology.com/partners/www.i2cool.com,HONG KONG,,,,,
ia marketing,IA Marketing apporte l'innovation au coeur des entreprises - IA Marketing,https://storage.googleapis.com/dealroom-images-production/09/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS85MGRhOTRmNzQyODQ1ZGY3ZjMyYTczM2QzNGEzZTZiNw==.png,,,,,Non disponible,,B2B,,"advertising, artificial intelligence, b2c, marketing, marketing analytics, marketplace & ecommerce, natural language processing, saas",3 à 5 salariés,,"Lyon, France",2020-01-01,,,,
ia medical,"is revolutionising well-being at work with its ecosystem of specialised conversational agents. Our mission: to make mental health support accessible, affordable and personalised for your employees. Imagine caring AI companions, available 24/7, to support your employees in all areas of their lives: Nanny for young parents, Alix for carers, Cathy to combat bullying at school, Obee for students, Equilibot for work-life issues, Cogitoscope for cancer, and Iggy for mental health at work. Your employees benefit from tailored, interactive and confidential support that promotes their well-being, resilience and fulfilment. The enthusiastic feedback from our users bears witness to this! With ou chatbot, you can reduce absenteeism over the long term and boost talent retention. Our exclusive ‘Ethic by Design’ approach and RGPD compliance guarantee you a responsible and secure service. Offer your teams mental health support that matches your values. Contact us to discover the IA MEDICAL difference!","https://storage.googleapis.com/dealroom-images-production/03/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xNi9lNWVjNTQ5Y2VkZjVhMDRlY2FiYTk2NmJhNzc3MmVmMQ==.png, https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/02b14e3a-1a70-4f34-a70d-892dac2185c31",,,,,Non disponible,,,€6—8m,"artificial intelligence, healthcare & wellness, ia  
bien-être  
santémentale  
chatbot, retail & e-commerce, health",3 à 5 salariés,https://vivatechnology.com/partners/www.ia-medical.com,"LYON, Lyon, France",2022-01-01,,,,1400000.0
iad france,Creating an innovative real estate network to otherwise support individuals who wish to sell or acquire a property,https://storage.googleapis.com/dealroom-images-production/da/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS85ZWRiYzExNzJhMWQ4MTViMGIwZjM4ZGE0MGQ2ZDJhMw==.png,,,,,Non disponible,,B2C,€1.2b,"commission, marketplace & ecommerce, real estate, real estate software, search, buy & rent",5000 salariés ou plus,,"Villiers-sur-Marne, France",2008-01-01,,,,300000000.0
ibc corp - scaling parrots,Leading Blockchain consulting and development firm in Italy,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/4b903682-b13d-421d-80fa-27e6eab445e91,,,,,Non disponible,,,,"fintech, insurance & legal, climate tech, blockchain, consulting, development, italy, web3, blockchain, crypto & nft",,https://scalingparrots.com/,BRESCIA,,,,,
ible technology inc.,"ible, founded in 2015, is a wearable device company. Its wearable air purifier family, ""Airvida,"" is designed to purify the air around your face at any time by reducing PM2.5, influenza A virus, viruses, pollen, and allergens. This perspective is widely recognized worldwide, leading Airvida to win Innovation Awards at CES in 2020 and 2024, the German Innovation Award in 2022, and first place in the SNQ (Symbol of National Quality, Taiwan) Epidemic Prevention Category for four consecutive years. Currently, Airvida is sold in around 15 countries, including Switzerland, Japan, and others.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9976c008-41dd-4f83-ac76-bce740b62ac11,,,,,Non disponible,,,,"gaming & esports, wearable, airpurifier, innovation, healthtech, healthcare & wellness, retail & e-commerce",,https://vivatechnology.com/partners/www.airvida.co,TAIPEI CITY,,,,,
iceberg data lab,"Fintech developing assessment tools and providing Environmental Data Solutions to Financial Institutions, Solutions de données environnementales","https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/iceberg_datalab_logo_v2_1.jpg, https://storage.googleapis.com/dealroom-images-production/23/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS9jMzE0OTRlMzdjNTI5NTY1OTE0YjYxNDc4MDFiYmIyOA==.png",,,,,Non disponible,,B2B,€36—55m,"esg, commission, artificial intelligence, saas, enterprise software, fintech, regtech",50 à 99 salariés,https://www.icebergdatalab.com/?utm_source=LesPepitesTech.com,"48 Boulevard des Batignolles, 75017 Paris, Paris, France",2020-01-01,,,,14100000.0
ico by ondilo,Simplifies the maintenance of a swimming pool,https://storage.googleapis.com/dealroom-images-production/ec/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMi8xMGJlZmNhM2RjMDcyZTNjZWVhMzdhYjY3MTZiNjdlYQ==.png,,,,,Non disponible,,B2B,€4—6m,"b2c, connected device, home living, mobile app, selling own inventory",20 à 49 salariés,,"Saint-Cannat, France",,,,,1000000.0
icon photonics,Offering reliable and high-performance optical coupling and packaging solutions for high speed optical communications,https://storage.googleapis.com/dealroom-images-production/64/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8wNy8wOS85M2MxYjljYjc0YjkyMDdhMDhjYjNmYTllNGJmMDg3Yw==.png,,,,,Non disponible,,B2B,,"commission, deep tech, hardware, manufacturing, telecom",3 à 5 salariés,,"Champs-sur-Marne, France",,,,,
icon sas,La solution tout-en-un pour gérer votre communauté,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logos_icon_fondblanc.jpg,,,,,Non disponible,,,,réseau social,,https://iconmeetings.io/?utm_source=LesPepitesTech.com,"4 Grande Rue de la Guillotière, Lyon",,,,,
icono app,ICONO IS A NATURAL LANGUAGE VIDEO SEARCH ENGINE,https://storage.googleapis.com/dealroom-images-production/69/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS85YWEyNDQ4Mjk0NDg2Zjk5YzVlMzBmYTZmY2ZkYjIwOQ==.png,,,,,Non disponible,,B2B,,"media, subscription",3 à 5 salariés,,"Lille, France",2023-01-01,,,,
ic’alps sas,,https://storage.googleapis.com/dealroom-images-production/a0/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS8zZjUyMGJhYTdkMmYxNWU4OTFmNzM1OTY4MzgxYTdkNQ==.png,,,,,Non disponible,,,€17—25m,,50 à 99 salariés,,"Meylan, France",,,,,4200000.0
idawo,"An application 100% dedicated to women, enabling them to practice football together in a trusted environment. Idawo allows women to geolocate and meet to play football together, once the number is validated by the platform. But Idawo doesn't just connect you with other players. We are a true community where you can plan friendly matches, training sessions, and even local tournaments with your new teammates. In summary, Idawo is much more than just an app. It's a dynamic community where women can come together, play, and thrive together through their shared love for football.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/aaccceb8-03d8-435b-8419-9f2bec84d8b71,,,,,Non disponible,,,,"healthcare & wellness, football, communauté, femmes, sporttech, sports",,https://www.linkedin.com/company/idawo-app,PARIS,,,,,
ideal gourmet,,https://storage.googleapis.com/dealroom-images-production/ec/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8yMi80Y2JlNGU0ZDcwZDIwOTY4ODdkNGJlYzRjMzE3ZTIyMA==.png,,,,,Non disponible,,B2C,,event tech,500 à 999 salariés,,"Paris, France",,,,,
idgarages,,https://storage.googleapis.com/dealroom-images-production/93/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yOC8xOTVkMTViMTdkY2YyNjdjOTIxOGM2Yjk0ZDY4NDg1YQ==.png,,,,,Non disponible,,,€32—48m,"commission, marketplace & ecommerce",20 à 49 salariés,,"Arcueil, France",2012-01-01,,,,18000000.0
idée tangible,Studio d’innovation. Design et Test rapide de solutions,https://storage.googleapis.com/dealroom-images-production/d3/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMi9hZjM3NzY3OTk2NGMxODBmOTM4NmFhZDdlOGY1NTQzNg==.png,,,,,Non disponible,,,,"3d technology, hardware, marketing",3 à 5 salariés,,"Paris, France",2019-01-01,,,,
ielo (formerly ielo-liazo group),,https://storage.googleapis.com/dealroom-images-production/be/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xNS80ZTVmOTc4MDczZmY1Yzg2NTA0MjEzYTFjMmZhMjUzYw==.png,,,,,Non disponible,,B2B,,"hosting, subscription",50 à 99 salariés,,"Paris, France",,,,,
ignite social impact,,https://storage.googleapis.com/dealroom-images-production/b3/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS9mOWZjNDA5ZWM4OTQzN2Y0NjUyMWFiYjk2NTdkOTRlNg==.png,,,,,Non disponible,,B2B,,fintech,3 à 5 salariés,,"Montpellier, France",,,,,
